time;duration;id;artist;title;hook;cover
2025-06-01 00:00:01;221;31570710;Beyoncé;Crazy in love;https://hooksswr-a.akamaihd.net/99005/M0417105.014.mp3;no cover
2025-06-01 00:04:00;226;31570724;Joe Cocker;Unchain my heart;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:07:43;223;31570731;Johannes Oerding;Hundert Leben;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:14:57;160;31570740;Rolling Stones;As tears go by;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:17:35;202;31570747;Nik Kershaw;Wide boy;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:20:51;180;31570752;Carpenters;There's a kind of hush;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:24:25;199;31570759;Mr. Big;To be with you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:27:40;218;31570764;Smokie;Oh Carol;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:32:36;216;31570775;Bruce Springsteen;Brilliant Disguise;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:36:09;235;31570783;Mary Hopkin;Those were the days;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:40:03;217;31570788;Keimzeit;Kling klang;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:45:23;279;31570800;France Gall;Babacar;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:49:58;151;31570808;Gilbert O'Sullivan;What's in a kiss;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:53:30;214;31570816;Reamonn;Tonight;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 00:56:59;250;31570821;Boston;Amanda;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 01:04:28;208;31570830;Bob Seger;Fire Lake;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 01:08:33;212;31570835;Johnny Hates Jazz;I don't want to be a Hero;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 01:11:58;199;31570838;UB 40;(I can't help) Falling in love with you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 01:17:00;232;31570845;Ina Müller;Ich bin die;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
2025-06-01 01:20:52;197;31570847;New World;Tom tom turnaround;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28466
